,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,id,start_time,geometry
0,34.17638,-85.761681,297.01,0.38,0.36,1/1/2020,730,N,VIIRS,n,1,273.81,0.54,N,0,1,1/1/2020 7:30,POINT (-9546946.658495167 3804497.218757419)
1,33.158421,-82.420204,298.81,0.45,0.39,1/1/2020,730,N,VIIRS,n,1,276.61,0.75,N,0,2,1/1/2020 7:30,POINT (-9174975.140357731 3691178.541228989)
2,34.666496,-80.304184,305.5,0.52,0.42,1/1/2020,730,N,VIIRS,n,1,275.71,1.18,N,0,3,1/1/2020 7:30,POINT (-8939420.871449346 3859056.682307056)
3,33.970482,-80.340347,313.38,0.53,0.42,1/1/2020,730,N,VIIRS,n,1,278.01,1.28,N,0,4,1/1/2020 7:30,POINT (-8943446.518194905 3781576.758242066)
4,32.880775,-80.820381,306.06,0.53,0.42,1/1/2020,730,N,VIIRS,n,1,278.21,0.99,N,0,6,1/1/2020 7:30,POINT (-8996883.658638364 3660271.1298882)
5,32.651054,-80.21302,299.8,0.57,0.43,1/1/2020,730,N,VIIRS,n,1,281.39,0.9,N,0,7,1/1/2020 7:30,POINT (-8929272.541390669 3634698.705143678)
6,36.105457,-93.720551,300.25,0.54,0.5,1/1/2020,730,N,VIIRS,n,1,269.98,1.43,N,0,9,1/1/2020 7:30,POINT (-10432924.01418503 4019241.088098435)
7,33.861473,-86.292915,315.65,0.39,0.36,1/1/2020,730,N,VIIRS,n,1,276.18,1.2,N,0,10,1/1/2020 7:30,POINT (-9606083.356867241 3769441.931870181)
8,35.206444,-88.406792,296.26,0.44,0.38,1/1/2020,730,N,VIIRS,n,1,272.78,0.61,N,0,11,1/1/2020 7:30,POINT (-9841399.068106852 3919163.418721901)
9,34.028496,-85.1679,310.79,0.39,0.36,1/1/2020,730,N,VIIRS,n,1,272.96,0.96,N,0,12,1/1/2020 7:30,POINT (-9480847.259932443 3788034.847180947)
