eventId,start,finish,detected,detected_by,reported,reported_by,reported_to,latitude,longitude
0,2022-01-22 03:54:00+00:00,2022-01-22 05:54:00+00:00,[],[],[],[],[],-17.0,-74.0
1,2022-01-22 03:26:00+00:00,2022-01-22 05:26:00+00:00,[],[],[],[],[],43.0,16.0
2,2022-01-22 04:25:00+00:00,2022-01-22 06:25:00+00:00,[],[],[],[],[],-5.0,104.0
3,2022-01-22 01:06:00+00:00,2022-01-22 03:06:00+00:00,[],[],[],[],[],-30.0,-151.0
4,2022-01-22 02:46:00+00:00,2022-01-22 04:46:00+00:00,[],[],[],[],[],-29.0,28.0
5,2022-01-22 04:36:00+00:00,2022-01-22 06:36:00+00:00,[],[],[],[],[],14.0,36.0
6,2022-01-22 03:35:00+00:00,2022-01-22 05:35:00+00:00,[],[],[],[],[],51.0,-157.0
7,2022-01-22 02:15:00+00:00,2022-01-22 04:15:00+00:00,[],[],[],[],[],-8.0,-140.0
8,2022-01-22 01:39:00+00:00,2022-01-22 03:39:00+00:00,"[datetime.datetime(2022, 1, 22, 3, 32, tzinfo=datetime.timezone.utc)]",['SKYSAT-C2'],"[datetime.datetime(2022, 1, 22, 6, 22, tzinfo=datetime.timezone.utc)]",['SKYSAT-C2'],[0],15.0,105.0
9,2022-01-22 01:06:00+00:00,2022-01-22 03:06:00+00:00,[],[],[],[],[],-20.0,31.0
10,2022-01-22 04:39:00+00:00,2022-01-22 06:39:00+00:00,"[datetime.datetime(2022, 1, 22, 6, 50, tzinfo=datetime.timezone.utc)]",['SKYSAT-C2'],"[datetime.datetime(2022, 1, 22, 7, 56, tzinfo=datetime.timezone.utc)]",['SKYSAT-C2'],[0],-18.0,51.0
11,2022-01-22 02:53:00+00:00,2022-01-22 04:53:00+00:00,[],[],[],[],[],-21.0,-135.0
12,2022-01-22 04:21:00+00:00,2022-01-22 06:21:00+00:00,[],[],[],[],[],31.0,-70.0
13,2022-01-22 01:01:00+00:00,2022-01-22 03:01:00+00:00,[],[],[],[],[],35.0,-93.0
14,2022-01-22 02:39:00+00:00,2022-01-22 04:39:00+00:00,[],[],[],[],[],-53.0,-97.0
15,2022-01-22 02:26:00+00:00,2022-01-22 04:26:00+00:00,[],[],[],[],[],17.0,107.0
16,2022-01-22 01:48:00+00:00,2022-01-22 03:48:00+00:00,[],[],[],[],[],-9.0,-124.0
17,2022-01-22 02:57:00+00:00,2022-01-22 04:57:00+00:00,[],[],[],[],[],-42.0,-7.0
18,2022-01-22 03:46:00+00:00,2022-01-22 05:46:00+00:00,[],[],[],[],[],56.0,-65.0
19,2022-01-22 02:26:00+00:00,2022-01-22 04:26:00+00:00,[],[],[],[],[],-20.0,-152.0
20,2022-01-22 01:53:00+00:00,2022-01-22 03:53:00+00:00,[],[],[],[],[],-46.0,-5.0
21,2022-01-22 02:25:00+00:00,2022-01-22 04:25:00+00:00,"[datetime.datetime(2022, 1, 22, 3, 38, tzinfo=datetime.timezone.utc), datetime.datetime(2022, 1, 22, 6, 34, tzinfo=datetime.timezone.utc)]","['SKYSAT-C1', 'SKYSAT-C6']","[datetime.datetime(2022, 1, 22, 6, 36, tzinfo=datetime.timezone.utc)]",['SKYSAT-C1'],[0],46.0,116.0
22,2022-01-22 03:13:00+00:00,2022-01-22 05:13:00+00:00,[],[],[],[],[],-52.0,-134.0
23,2022-01-22 03:20:00+00:00,2022-01-22 05:20:00+00:00,[],[],[],[],[],24.0,20.0
24,2022-01-22 04:14:00+00:00,2022-01-22 06:14:00+00:00,[],[],[],[],[],-19.0,162.0
25,2022-01-22 01:13:00+00:00,2022-01-22 03:13:00+00:00,[],[],[],[],[],45.0,-169.0
26,2022-01-22 04:07:00+00:00,2022-01-22 06:07:00+00:00,[],[],[],[],[],36.0,-72.0
27,2022-01-22 04:11:00+00:00,2022-01-22 06:11:00+00:00,"[datetime.datetime(2022, 1, 22, 6, 42, tzinfo=datetime.timezone.utc)]",['SKYSAT-C6'],[],[],[],14.0,106.0
28,2022-01-22 02:02:00+00:00,2022-01-22 04:02:00+00:00,"[datetime.datetime(2022, 1, 22, 2, 8, tzinfo=datetime.timezone.utc)]",['SKYSAT-C5'],"[datetime.datetime(2022, 1, 22, 4, 46, tzinfo=datetime.timezone.utc)]",['SKYSAT-C5'],[0],-34.0,116.0
29,2022-01-22 01:50:00+00:00,2022-01-22 03:50:00+00:00,[],[],[],[],[],-50.0,-71.0
30,2022-01-22 02:27:00+00:00,2022-01-22 04:27:00+00:00,[],[],[],[],[],53.0,47.0
31,2022-01-22 05:30:00+00:00,2022-01-22 07:30:00+00:00,[],[],[],[],[],-28.0,-150.0
32,2022-01-22 01:02:00+00:00,2022-01-22 03:02:00+00:00,"[datetime.datetime(2022, 1, 22, 6, 50, tzinfo=datetime.timezone.utc), datetime.datetime(2022, 1, 22, 7, 0, tzinfo=datetime.timezone.utc)]","['SKYSAT-B', 'SKYSAT-C2']","[datetime.datetime(2022, 1, 22, 7, 24, tzinfo=datetime.timezone.utc), datetime.datetime(2022, 1, 22, 7, 56, tzinfo=datetime.timezone.utc)]","['SKYSAT-B', 'SKYSAT-C2']","[0, 0]",-58.0,39.0
33,2022-01-22 01:10:00+00:00,2022-01-22 03:10:00+00:00,[],[],[],[],[],-15.0,-168.0
34,2022-01-22 02:11:00+00:00,2022-01-22 04:11:00+00:00,[],[],[],[],[],-14.0,-73.0
35,2022-01-22 04:47:00+00:00,2022-01-22 06:47:00+00:00,[],[],[],[],[],-46.0,-143.0
36,2022-01-22 01:46:00+00:00,2022-01-22 03:46:00+00:00,[],[],[],[],[],-28.0,-30.0
37,2022-01-22 03:57:00+00:00,2022-01-22 05:57:00+00:00,"[datetime.datetime(2022, 1, 22, 4, 8, tzinfo=datetime.timezone.utc), datetime.datetime(2022, 1, 22, 6, 28, tzinfo=datetime.timezone.utc)]","['SKYSAT-C17', 'SKYSAT-A']","[datetime.datetime(2022, 1, 22, 7, 26, tzinfo=datetime.timezone.utc)]",['SKYSAT-A'],[0],-51.0,52.0
38,2022-01-22 03:18:00+00:00,2022-01-22 05:18:00+00:00,[],[],[],[],[],-54.0,-112.0
39,2022-01-22 04:38:00+00:00,2022-01-22 06:38:00+00:00,[],[],[],[],[],-32.0,-15.0
40,2022-01-22 05:00:00+00:00,2022-01-22 07:00:00+00:00,[],[],[],[],[],7.0,146.0
41,2022-01-22 02:30:00+00:00,2022-01-22 04:30:00+00:00,[],[],[],[],[],56.0,-67.0
42,2022-01-22 02:01:00+00:00,2022-01-22 04:01:00+00:00,[],[],[],[],[],55.0,27.0
43,2022-01-22 01:17:00+00:00,2022-01-22 03:17:00+00:00,"[datetime.datetime(2022, 1, 22, 4, 54, tzinfo=datetime.timezone.utc)]",['SKYSAT-C9'],[],[],[],-58.0,116.0
44,2022-01-22 03:07:00+00:00,2022-01-22 05:07:00+00:00,"[datetime.datetime(2022, 1, 22, 5, 42, tzinfo=datetime.timezone.utc), datetime.datetime(2022, 1, 22, 6, 4, tzinfo=datetime.timezone.utc), datetime.datetime(2022, 1, 22, 6, 12, tzinfo=datetime.timezone.utc)]","['SKYSAT-C13', 'SKYSAT-A', 'SKYSAT-C16']","[datetime.datetime(2022, 1, 22, 7, 2, tzinfo=datetime.timezone.utc), datetime.datetime(2022, 1, 22, 7, 26, tzinfo=datetime.timezone.utc)]","['SKYSAT-C13', 'SKYSAT-A']","[0, 0]",35.0,72.0
45,2022-01-22 05:32:00+00:00,2022-01-22 07:32:00+00:00,[],[],[],[],[],-56.0,118.0
46,2022-01-22 01:15:00+00:00,2022-01-22 03:15:00+00:00,[],[],[],[],[],21.0,-123.0
47,2022-01-22 05:43:00+00:00,2022-01-22 07:43:00+00:00,[],[],[],[],[],-33.0,139.0
48,2022-01-22 01:07:00+00:00,2022-01-22 03:07:00+00:00,[],[],[],[],[],29.0,-84.0
49,2022-01-22 01:13:00+00:00,2022-01-22 03:13:00+00:00,"[datetime.datetime(2022, 1, 22, 5, 24, tzinfo=datetime.timezone.utc)]",['SKYSAT-C15'],[],[],[],43.0,179.0
