eventId,start,finish,detected,detected_by,reported,reported_by,reported_to,latitude,longitude
0,2022-11-01 02:10:00+00:00,2022-11-01 04:10:00+00:00,[],[],[],[],[],34.0,18.0
1,2022-11-01 03:22:00+00:00,2022-11-01 05:22:00+00:00,[],[],[],[],[],-53.0,130.0
2,2022-11-01 02:02:00+00:00,2022-11-01 04:02:00+00:00,[],[],[],[],[],-44.0,68.0
3,2022-11-01 03:23:00+00:00,2022-11-01 05:23:00+00:00,[],[],[],[],[],55.0,-180.0
4,2022-11-01 02:22:00+00:00,2022-11-01 04:22:00+00:00,[],[],[],[],[],8.0,-145.0
5,2022-11-01 03:15:00+00:00,2022-11-01 05:15:00+00:00,[],[],[],[],[],-35.0,155.0
6,2022-11-01 02:15:00+00:00,2022-11-01 04:15:00+00:00,[],[],[],[],[],-4.0,68.0
7,2022-11-01 03:43:00+00:00,2022-11-01 05:43:00+00:00,[],[],[],[],[],-27.0,-180.0
8,2022-11-01 03:59:00+00:00,2022-11-01 05:59:00+00:00,[],[],[],[],[],-55.0,112.0
9,2022-11-01 02:05:00+00:00,2022-11-01 04:05:00+00:00,[],[],[],[],[],21.0,-132.0
10,2022-11-01 03:22:00+00:00,2022-11-01 05:22:00+00:00,[],[],[],[],[],-14.0,-65.0
11,2022-11-01 02:21:00+00:00,2022-11-01 04:21:00+00:00,[],[],[],[],[],-15.0,-11.0
12,2022-11-01 02:23:00+00:00,2022-11-01 04:23:00+00:00,[],[],[],[],[],-60.0,-63.0
13,2022-11-01 03:44:00+00:00,2022-11-01 05:44:00+00:00,[],[],[],[],[],-27.0,-126.0
14,2022-11-01 03:13:00+00:00,2022-11-01 05:13:00+00:00,[],[],[],[],[],-47.0,0.0
15,2022-11-01 02:45:00+00:00,2022-11-01 04:45:00+00:00,[],[],[],[],[],-2.0,14.0
16,2022-11-01 02:16:00+00:00,2022-11-01 04:16:00+00:00,[],[],[],[],[],-7.0,-89.0
17,2022-11-01 02:58:00+00:00,2022-11-01 04:58:00+00:00,[],[],[],[],[],19.0,144.0
18,2022-11-01 03:47:00+00:00,2022-11-01 05:47:00+00:00,[],[],[],[],[],33.0,117.0
19,2022-11-01 02:30:00+00:00,2022-11-01 04:30:00+00:00,[],[],[],[],[],-18.0,172.0
20,2022-11-01 03:33:00+00:00,2022-11-01 05:33:00+00:00,[],[],[],[],[],32.0,-50.0
21,2022-11-01 02:02:00+00:00,2022-11-01 04:02:00+00:00,[],[],[],[],[],36.0,128.0
22,2022-11-01 02:57:00+00:00,2022-11-01 04:57:00+00:00,[],[],[],[],[],-54.0,-56.0
23,2022-11-01 02:38:00+00:00,2022-11-01 04:38:00+00:00,[],[],[],[],[],-56.0,-89.0
24,2022-11-01 03:08:00+00:00,2022-11-01 05:08:00+00:00,"[datetime.datetime(2022, 11, 1, 3, 12, tzinfo=datetime.timezone.utc), datetime.datetime(2022, 11, 1, 3, 26, tzinfo=datetime.timezone.utc), datetime.datetime(2022, 11, 1, 3, 30, tzinfo=datetime.timezone.utc), datetime.datetime(2022, 11, 1, 3, 32, tzinfo=datetime.timezone.utc)]","['CAPELLA-7-WHITNEY', 'SKYSAT-A', 'CAPELLA-2-SEQUOIA', 'CAPELLA-8-WHITNEY']",[],[],[],30.0,105.0
25,2022-11-01 02:37:00+00:00,2022-11-01 04:37:00+00:00,[],[],[],[],[],-49.0,-116.0
26,2022-11-01 03:37:00+00:00,2022-11-01 05:37:00+00:00,[],[],[],[],[],1.0,-107.0
27,2022-11-01 02:10:00+00:00,2022-11-01 04:10:00+00:00,[],[],[],[],[],26.0,-59.0
28,2022-11-01 02:04:00+00:00,2022-11-01 04:04:00+00:00,[],[],[],[],[],-42.0,-47.0
29,2022-11-01 02:30:00+00:00,2022-11-01 04:30:00+00:00,[],[],[],[],[],11.0,-55.0
30,2022-11-01 03:58:00+00:00,2022-11-01 05:58:00+00:00,[],[],[],[],[],-12.0,-104.0
31,2022-11-01 02:52:00+00:00,2022-11-01 04:52:00+00:00,[],[],[],[],[],-33.0,72.0
32,2022-11-01 03:03:00+00:00,2022-11-01 05:03:00+00:00,[],[],[],[],[],22.0,59.0
33,2022-11-01 03:09:00+00:00,2022-11-01 05:09:00+00:00,[],[],[],[],[],-55.0,-58.0
34,2022-11-01 02:16:00+00:00,2022-11-01 04:16:00+00:00,[],[],[],[],[],-29.0,-108.0
35,2022-11-01 02:04:00+00:00,2022-11-01 04:04:00+00:00,[],[],[],[],[],-57.0,119.0
36,2022-11-01 03:44:00+00:00,2022-11-01 05:44:00+00:00,[],[],[],[],[],33.0,133.0
37,2022-11-01 02:09:00+00:00,2022-11-01 04:09:00+00:00,[],[],[],[],[],13.0,-120.0
38,2022-11-01 02:33:00+00:00,2022-11-01 04:33:00+00:00,[],[],[],[],[],-28.0,-31.0
39,2022-11-01 02:08:00+00:00,2022-11-01 04:08:00+00:00,"[datetime.datetime(2022, 11, 1, 3, 18, tzinfo=datetime.timezone.utc)]",['CAPELLA-2-SEQUOIA'],[],[],[],43.0,56.0
40,2022-11-01 02:15:00+00:00,2022-11-01 04:15:00+00:00,[],[],[],[],[],45.0,92.0
41,2022-11-01 03:02:00+00:00,2022-11-01 05:02:00+00:00,[],[],[],[],[],11.0,-172.0
42,2022-11-01 02:38:00+00:00,2022-11-01 04:38:00+00:00,"[datetime.datetime(2022, 11, 1, 3, 34, tzinfo=datetime.timezone.utc)]",['CAPELLA-8-WHITNEY'],[],[],[],22.0,97.0
43,2022-11-01 03:12:00+00:00,2022-11-01 05:12:00+00:00,[],[],[],[],[],-53.0,28.0
44,2022-11-01 03:53:00+00:00,2022-11-01 05:53:00+00:00,[],[],[],[],[],-8.0,23.0
45,2022-11-01 02:50:00+00:00,2022-11-01 04:50:00+00:00,[],[],[],[],[],29.0,-108.0
46,2022-11-01 02:30:00+00:00,2022-11-01 04:30:00+00:00,[],[],[],[],[],45.0,-99.0
47,2022-11-01 02:10:00+00:00,2022-11-01 04:10:00+00:00,[],[],[],[],[],53.0,-62.0
48,2022-11-01 02:48:00+00:00,2022-11-01 04:48:00+00:00,[],[],[],[],[],46.0,-116.0
49,2022-11-01 02:20:00+00:00,2022-11-01 04:20:00+00:00,"[datetime.datetime(2022, 11, 1, 3, 46, tzinfo=datetime.timezone.utc)]",['CAPELLA-6-WHITNEY'],[],[],[],-14.0,160.0
